name,id
On Demand,7712
CBS (WBBM) Chicago, IL,1830
ESPN,594
Telemundo (WSNS) Chicago, IL,1839
NBC (WMAQ) Chicago, IL,1831
UNI (WGBO) Chicago, IL,1838
ABC (WLS) Chicago, IL,1608
MNT (WPWR) Chicago, IL,1840
WGN Chicago (LOCAL),1915
CLTV Chicagoland's Television,4676
PBS (WTTW) Chicago, IL,1832
FOX (WFLD) Chicago IL,1606
WCIU - The U,  Chicago IL,1834
Telelatino,82
UniMás (WXFT) Chicago, IL,1897
HSN (W25DW) Chicago, IL,11688
PBS (WYIN) Indiana,1837
PBS (WYCC) Chicago, IL,1833
FX Networks East Coast,652
ESPN2,650
TNT (Turner) - Eastern Feed,347
TBS - East,61
SPIKE USA - Eastern Feed,1030
Jewelry Television,3000
Comcast Sportsnet Chicago,4020
ION (WCPX) Chicago, IL,1922
USA Network - East Feed,640
Freeform - East Feed,1011
Lifetime Network US - Eastern Feed,654
AMC - Eastern Feed,177
Bravo USA - Eastern Feed,646
Animal Planet US - East,645
Discovery Channel (US) - Eastern Feed,649
NBC Sports Network,1386
Big Ten Network,4499
Nickelodeon USA - East Feed,658
Disney - Eastern Feed,595
Cartoon Network USA - Eastern Feed,661
CNN,70
CNBC USA,201
MSNBC USA,655
Fox News,1083
HLN,425
Bloomberg TV USA,1856
HGTV USA - Eastern Feed,623
A&E US - Eastern Feed,2
History Channel US - Eastern Feed,621
Oxygen - Eastern Feed,659
HGTV USA - Eastern Feed,623
TLC USA - Eastern,5005
Food Network USA - Eastern Feed,1054
E! Entertainment USA - Eastern Feed,617
Comedy Central (US) - Eastern Feed,647
Golf Channel USA,193
VH1 - Eastern Feed,663
BET - Eastern Feed,323
MTV USA - Eastern Feed,656
MTV 2 - East,1515
Galavision - Eastern Feed,1894
Travel US - East,662
HSN 2,13495
EVINE Live,1523
QVC (WCPX) Chicago, IL,12257
POP - East,10165
CSPAN,648
The Weather Channel,1526
Community Channel,492
CSPAN 2,1050
CSPAN 3,3423
Fox Business,4656
Al Jazeera America,2266
National Geographic Wild,7537
Community Channel,492
Community Channel,492
Community Channel,492
Community Channel,492
Community Channel,492
Esquire Network - Eastern,618
EWTN USA,620
Nick Jr. - East,1969
Do It Yourself Network (USA) - East,622
Disney XD USA - Eastern Feed,1053
The Cooking Channel,4226
Disney Junior USA - East,6867
Nicktoons - East,2010
Sprout,4349
Baby First TV,4444
Discovery Family Channel,4225
Hallmark - Eastern Feed,1052
Nickelodeon USA - Pacific Feed,1198
FUSE TV - Eastern feed,1486
MTV 2 - East,1515
Telelatino,82
LOGO - East,2091
Destination America,2074
CMT US - Eastern Feed,1076
MOVIEplex - Eastern,1066
Ovation,2267
Smithsonian Channel USA,4679
BBC World,527
INSP,1082
Jewelry Television,3000
Syfy - Eastern Feed,596
Game Show Network - East,329
BBC America - East,615
TV Land - Eastern,1252
EVINE Live,1523
truTV USA - Eastern,333
NFL Network,3349
NFL Network HD,3601
AMC - Eastern Feed HD,6219
TV One,2287
ESPN HD,3036
NBC Sports Network HD,4710
History Channel US HD - East,4660
TLC USA HD - Eastern,5004
Syfy HD - Eastern Feed,5643
MMax (WOCK-CD) Chicago, IL HD,10872
HGTV USA HD - Eastern,3690
Food Network USA HD - Eastern Feed,3438
UNI (WGBO) Chicago, IL HD,8581
WCIU - The U,  Chicago IL HD,8582
MNT (WPWR) Chicago, IL HD,7042
Showtime HD - Eastern,3034
HBO HD - Eastern Feed,627
ABC (WLS) Chicago, IL HD,5714
NBC (WMAQ) Chicago, IL HD,6492
CBS (WBBM) Chicago, IL HD,6566
FOX (WFLD) Chicago IL HD,8583
PBS (WTTW) Chicago, IL HD,8584
WGN Chicago (SUPERSTATION) HD,5882
Telemundo (WSNS) Chicago, IL HD,8585
UniMás (WXFT) Chicago, IL HD,8586
Cinemax - Eastern HD,3567
Starz HD - Eastern,3388
Disney HD - Eastern,6112
Freeform HD - East Feed,6110
Golf Channel USA HD,6039
Comcast Sportsnet Chicago HD,6409
Comcast Sportsnet Chicago Plus HD,14414
ESPN2 HD,3379
TNT HD - East Feed,3037
Velocity HD,12597
National Geographic US HD,4436
Universal HD,2086
A&E HD - Eastern Feed,17034
Palladia HD,6081
Science HD,5828
TeenNick - Eastern,1954
CNN HD,4724
Live Well (WLS-DT2) Chicago, IL,9417
Discovery HD (US) - Eastern,4466
TBS - East HD,6090
Oprah Winfrey Network USA Eastern HD,8587
USA Network HD - East,5490
Discovery Life Channel,1273
